model_name,seed,AS,PS,RS,F1S,SS,NPV
GA-MLP,10,0.9044444444444444,0.5278078206841631,0.5096592802456109,0.482601005384592,0.9466234102638843,0.9479514201737598
GA-MLP,11,0.9033333333333333,0.505605542865899,0.5249857117180403,0.49644914355119873,0.9465969493113879,0.9472707301921227
GA-MLP,12,0.9033333333333335,0.5452100889679888,0.5061907747709293,0.49140978743680314,0.9458979900835842,0.9472530965545589
GA-MLP,15,0.905,0.5315147944783845,0.5446626476677628,0.5000783075765034,0.9472195359219455,0.9492560154477225
GA-MLP,18,0.8944444444444445,0.46600288697062897,0.49675096234776817,0.4660008516463899,0.9415596259153431,0.9422173630937699
GA-MLP,21,0.9088888888888889,0.5342949820503999,0.5652519512556515,0.5286681065942809,0.9494153530399692,0.9503890303224336
GA-MLP,24,0.9077777777777778,0.5903909467422871,0.5409301275804241,0.5357748873014618,0.9486865167775507,0.9491651062052184
GA-MLP,25,0.9055555555555556,0.4931199711700729,0.5316147484138722,0.49737366619444473,0.9476954771618191,0.948364920073429
GA-MLP,30,0.9105555555555556,0.5426735845070858,0.5378275351011652,0.4907217154895124,0.9506810733148976,0.9522033053479909
GA-MLP,42,0.9011111111111111,0.5203691922112974,0.5080264220733286,0.4689085203881188,0.9456017730266965,0.9466516609161568
JADE-MLP,10,0.9405555555555555,0.6104326137925458,0.6805445235869134,0.6341967334193339,0.9670311270375812,0.9683042425145721
JADE-MLP,11,0.9522222222222222,0.7267024325247291,0.7546203387586637,0.7314382194895491,0.973745281366741,0.9741352548737476
JADE-MLP,12,0.9505555555555555,0.7475883030002366,0.7505853225151804,0.7460917107967964,0.9725640349785705,0.9725881558039049
JADE-MLP,15,0.9566666666666667,0.7358915936594811,0.772242316824131,0.7443648932150453,0.9759305663280315,0.976857786634912
JADE-MLP,18,0.9588888888888889,0.7450582538720133,0.7814613245853383,0.7509263339083107,0.9774270979348444,0.9780243711842486
JADE-MLP,21,0.9322222222222223,0.6734715930639069,0.6613296647394977,0.6623787057617332,0.9623388421282864,0.9623114521366615
JADE-MLP,24,0.9444444444444444,0.6301247759342796,0.705139322821888,0.6497625485008264,0.9695151201117385,0.9708647385275242
JADE-MLP,25,0.9572222222222223,0.7378339775304061,0.7905354637019217,0.7535720950539935,0.9764254069907707,0.97734362187036
JADE-MLP,30,0.961111111111111,0.7980222434494426,0.7989383580360073,0.7955081786682964,0.9784218938094232,0.9784798955147
JADE-MLP,42,0.9483333333333335,0.7535013786173519,0.7548449448739213,0.7437591277302007,0.9713735740749323,0.9715248012931749
L-SHADE-MLP,10,0.9416666666666667,0.6787563030049438,0.7296658431264188,0.6958535707086919,0.9671882064345596,0.9687579410830548
L-SHADE-MLP,11,0.9277777777777778,0.6679010998206045,0.6320731671694833,0.6178895808805839,0.9599261294560797,0.960307860747208
L-SHADE-MLP,12,0.9511111111111111,0.6971938337959249,0.7424944176644671,0.7141374879735614,0.9727597514064923,0.9736758050248367
L-SHADE-MLP,15,0.9633333333333333,0.8171670916940389,0.8138925786444424,0.8130655995365661,0.9796325226034748,0.9796216747574851
L-SHADE-MLP,18,0.9583333333333333,0.7900436396114258,0.7873182457744682,0.7863767306961534,0.976982801330108,0.9768330030437328
L-SHADE-MLP,21,0.9433333333333336,0.6927024974997111,0.7428791200274576,0.7043917355297873,0.9688471615072496,0.9697906480627776
L-SHADE-MLP,24,0.95,0.6899911682198423,0.7309030191842947,0.7047977139614116,0.972246435212974,0.9728024792013461
L-SHADE-MLP,25,0.9494444444444445,0.6947105263497804,0.7374286351492914,0.7082417704085582,0.9718913721111967,0.9727862214860435
L-SHADE-MLP,30,0.9605555555555556,0.802258646489334,0.7986537896632036,0.7971234453241691,0.9782536653795779,0.9780835944837423
L-SHADE-MLP,42,0.9594444444444445,0.8066044337559315,0.7938950456139062,0.7942058301347047,0.9775247458989037,0.9775191907245027
PSO-MLP,10,0.8961111111111111,0.4876203221614784,0.47158114839578086,0.467343024239841,0.9421089845130834,0.9423230187100525
PSO-MLP,11,0.8799999999999999,0.36717216955353865,0.3921550612508059,0.36822622387230164,0.9335573206915841,0.9339829917132214
PSO-MLP,12,0.9038888888888887,0.43062953463108256,0.49349365984725396,0.43980024785556066,0.9462340220997412,0.9480047101813434
PSO-MLP,15,0.9011111111111111,0.4410531630259734,0.5376486842319133,0.46612715779313546,0.9454694211849196,0.9473710364505781
PSO-MLP,18,0.9027777777777779,0.5054468111399231,0.4962586850399061,0.48073033179313185,0.9462111533171804,0.9465503099875322
PSO-MLP,21,0.9194444444444445,0.5042612247673447,0.566798658072261,0.5260280766918667,0.9552533262241635,0.9560981437561015
PSO-MLP,24,0.9216666666666665,0.5715418729421264,0.5965564993132061,0.5674285970621049,0.9565079284249121,0.9573519487150897
PSO-MLP,25,0.9183333333333333,0.49811587218169534,0.566699030549904,0.5191763708555314,0.954571938172809,0.9561004022916959
PSO-MLP,30,0.9033333333333333,0.5188977378632551,0.5086168021998135,0.5038911541357194,0.946672140129045,0.9467388628683595
PSO-MLP,42,0.9138888888888888,0.5456783073068857,0.5708592144283499,0.5435280568776074,0.9521490400666399,0.9529846691027479
HPSO-TVAC-MLP,10,0.9088888888888891,0.5636436893010507,0.5662638533674339,0.5424803626420698,0.9501449654791363,0.9506569538344378
HPSO-TVAC-MLP,11,0.9233333333333332,0.641972049689441,0.6030187667531902,0.5920582680826576,0.9576394481639298,0.9589028027607391
HPSO-TVAC-MLP,12,0.9133333333333333,0.5468752661301935,0.5707008360488254,0.5331491752573515,0.9523722544987651,0.9537427904314297
HPSO-TVAC-MLP,15,0.8911111111111112,0.4050386915007973,0.47993904718560537,0.4078024542703524,0.9396077941533854,0.9424141490636593
HPSO-TVAC-MLP,18,0.8927777777777777,0.4147076836980683,0.4448132670779185,0.4002705182494689,0.9412234997068982,0.9432608656042178
HPSO-TVAC-MLP,21,0.9377777777777776,0.6434579082801593,0.6923255235993986,0.6598422239542158,0.9657955401002241,0.9662354691895274
HPSO-TVAC-MLP,24,0.9205555555555556,0.5209595828358677,0.5783906796256473,0.5275442542108512,0.9555651001062222,0.9585064694110088
HPSO-TVAC-MLP,25,0.9438888888888888,0.7297641587561984,0.7070232011734976,0.7056466466088903,0.9687617196544606,0.9691314341106063
HPSO-TVAC-MLP,30,0.9188888888888889,0.48134351960803856,0.5957395066343752,0.5173537573537573,0.9554376334748456,0.9575277720409294
HPSO-TVAC-MLP,42,0.8961111111111111,0.44971018098349125,0.501620721789683,0.45860805805566274,0.9423673784689919,0.9438440841775144
P-PSO-MLP,10,0.8594444444444445,0.2304064902166317,0.29084667287148647,0.2179273398687723,0.9219600891493132,0.9257841376314795
P-PSO-MLP,11,0.8416666666666666,0.22834682860998648,0.23508530685001272,0.18098811600155718,0.913659157975539,0.9152893002028458
P-PSO-MLP,12,0.8511111111111112,0.179811953027056,0.26198115020964235,0.21094640407145207,0.9172683618207882,0.9183235859849666
P-PSO-MLP,15,0.8544444444444445,0.2674783334503444,0.28658591096012875,0.23255037096904366,0.9194626566245704,0.9214282714704582
P-PSO-MLP,18,0.8527777777777779,0.204772425678783,0.26755837512870767,0.222175527997501,0.9179367756595642,0.9195073574278505
P-PSO-MLP,21,0.8388888888888889,0.22536335774764948,0.20470242247096468,0.1873349356110318,0.910341870183702,0.9104421397114576
P-PSO-MLP,24,0.8466666666666667,0.16048565864119527,0.23196545500716473,0.169822050751614,0.9153888062762203,0.916602818320194
P-PSO-MLP,25,0.8555555555555555,0.1928883826209999,0.2843810132748752,0.22301358207385746,0.9202178536709763,0.9216071349751799
P-PSO-MLP,30,0.8305555555555555,0.18093173603074592,0.16414462883799552,0.16727267801060586,0.9057150620542377,0.9049030421034778
P-PSO-MLP,42,0.8422222222222222,0.16450870891369448,0.22362323846366397,0.18078351946063026,0.9126264551008966,0.9133650657940846
RW-GWO-MLP,10,0.9394444444444444,0.5940999427017761,0.6688976627569706,0.6158973305622115,0.9665454659968908,0.9682460977956893
RW-GWO-MLP,11,0.9172222222222223,0.5048287583771456,0.5921532367887866,0.5289734806837381,0.9538203644001229,0.9571423356754256
RW-GWO-MLP,12,0.9411111111111111,0.6719569695352741,0.700880272300662,0.6791932447740978,0.9670795172246963,0.967772925651224
RW-GWO-MLP,15,0.945,0.6699583275205373,0.7476134670502631,0.7006817886271074,0.9696930750094648,0.9706091464193367
RW-GWO-MLP,18,0.9400000000000001,0.6172986418255857,0.6948524847665076,0.6390744613512146,0.9668758801308333,0.9685236945428587
RW-GWO-MLP,21,0.9516666666666665,0.737379569924327,0.7492326246788346,0.7262912414637468,0.9732591659588877,0.9736559702674249
RW-GWO-MLP,24,0.9516666666666668,0.7646304714567773,0.7360029594210908,0.728551431055566,0.9732728188473461,0.9735911022128416
RW-GWO-MLP,25,0.9477777777777778,0.7338850184017925,0.7316768926054988,0.730096251082074,0.9710339378374939,0.9710808963063562
RW-GWO-MLP,30,0.9427777777777777,0.6668678329515032,0.7041204290983907,0.6787613249399661,0.9680657991681334,0.9688949606468421
RW-GWO-MLP,42,0.9500000000000002,0.7108283941861728,0.7421451079801191,0.7166391228711493,0.9723340924416085,0.9729203767436975
AO-MLP,10,0.8388888888888889,0.12832671959633615,0.19176476124046457,0.13450422307069304,0.910206451870742,0.9128937627725537
AO-MLP,11,0.8577777777777778,0.2104961334961335,0.26938308920406107,0.20980510142424985,0.9206093805256538,0.9235021121928415
AO-MLP,12,0.8438888888888888,0.12894570853621876,0.22641337386018234,0.14487968166328297,0.9128087770102281,0.917554018443365
AO-MLP,15,0.8505555555555556,0.11324819838633096,0.24131267981080246,0.15193445598265878,0.9162036584185949,0.9192546644523973
AO-MLP,18,0.8461111111111113,0.16811992355470617,0.1992094555423717,0.1584975290792636,0.9136155500611249,0.9153033902412225
AO-MLP,21,0.833888888888889,0.17165966386554624,0.17267692452475059,0.15388273996929602,0.9068963261224405,0.9067192330327064
AO-MLP,24,0.8427777777777778,0.12061194080463451,0.19549667415532354,0.14196320962520223,0.912606696834288,0.9138994132009554
AO-MLP,25,0.8400000000000001,0.1803872035473863,0.21143396884445478,0.16385165096765647,0.9116721709122061,0.9126882574612114
AO-MLP,30,0.828888888888889,0.1307673616319184,0.15785714285714283,0.13366133793748783,0.905090025200742,0.9047908470992171
AO-MLP,42,0.8388888888888889,0.15936073715778917,0.20348069485972844,0.1770702126986433,0.9093730635585547,0.9094276865135532
ARO-MLP,10,0.9394444444444444,0.6350507622380164,0.6713659460925064,0.6501755279844791,0.9663912696095871,0.9668474090080116
ARO-MLP,11,0.921111111111111,0.5841593519999092,0.5982225882531972,0.579443459123753,0.9564130059544509,0.9567195269985224
ARO-MLP,12,0.9100000000000001,0.4855306165946237,0.5279041254042613,0.48715945747902867,0.9500229970667519,0.951720629530729
ARO-MLP,15,0.9222222222222222,0.5197565037102084,0.5969382488509659,0.5449275249965118,0.9566869436176073,0.9581660937854342
ARO-MLP,18,0.928888888888889,0.5267075593903268,0.618044883414639,0.5618198304963011,0.9603347576001197,0.9619499668096724
ARO-MLP,21,0.9244444444444445,0.575050642427077,0.638104538257991,0.5990428212310694,0.9582140463678481,0.9591121659445635
ARO-MLP,24,0.9238888888888889,0.5315450366767654,0.6107032129141288,0.5572225581507457,0.9579795109409535,0.9591151389859872
ARO-MLP,25,0.9383333333333332,0.6668670076885087,0.6878702750968355,0.6658580985440953,0.9655499133049534,0.9665182339503324
ARO-MLP,30,0.9388888888888888,0.7146234876234876,0.7008944045198603,0.7000874234707518,0.9659359023730559,0.9659514127137323
ARO-MLP,42,0.8922222222222222,0.4569787008713009,0.47858953832983875,0.4552795273511273,0.9401504477358044,0.9401003507188989
SMA-MLP,10,0.8538888888888889,0.1985584944705127,0.27094501832353496,0.19248867181042276,0.9194940847524629,0.922207565554418
SMA-MLP,11,0.8733333333333334,0.2275763640536578,0.33706957713705277,0.25400311856569185,0.9288183492115977,0.9326299194874338
SMA-MLP,12,0.8405555555555557,0.12687148847473254,0.22530438481001686,0.1539787145479569,0.9122585196051641,0.9137444484101399
SMA-MLP,15,0.8633333333333333,0.25296520348166834,0.3066576939412549,0.22669984228401902,0.9237011172423155,0.9270825780877525
SMA-MLP,18,0.8422222222222222,0.2788053866057131,0.21528012912338426,0.21226387664391994,0.9130860451141928,0.9128264079199649
SMA-MLP,21,0.846111111111111,0.2002191083215751,0.2431213117658131,0.18340229672797353,0.9154214571488968,0.9177903586954116
SMA-MLP,24,0.8655555555555555,0.17779168550404797,0.3161085014276504,0.2078749530135336,0.9252327007977359,0.9303160767780433
SMA-MLP,25,0.8555555555555555,0.21927003487532862,0.2816868529431788,0.2267471697112283,0.9198140055644389,0.9214114119798577
SMA-MLP,30,0.8516666666666666,0.1678708617950104,0.2550103519668737,0.19471586418768966,0.9178693354192491,0.9192060319982758
SMA-MLP,42,0.8561111111111112,0.25859811063273946,0.2703408952513812,0.23308297337017062,0.9196796060953808,0.9218759624760476
AOA-MLP,10,0.8550000000000001,0.1271561860224825,0.27038551388935017,0.16536055800623076,0.9195632644243046,0.923389339664042
AOA-MLP,11,0.8488888888888889,0.13766670393976668,0.2641711229946524,0.16466598025558718,0.9168036246974729,0.9231671418863853
AOA-MLP,12,0.8533333333333333,0.17850142281960463,0.28425261013496306,0.1888401931745585,0.9191046495014525,0.9238923091633302
AOA-MLP,15,0.8516666666666666,0.13522483004216204,0.2740165631469979,0.1623602275076965,0.9188205544998576,0.9219219427535654
AOA-MLP,18,0.8588888888888888,0.19264870931537598,0.2872802960222017,0.1786888215626533,0.9225924516052922,0.928985723153321
AOA-MLP,21,0.846111111111111,0.12870731467523105,0.24763378465506128,0.14806728925791882,0.915496241543139,0.9194804142515242
AOA-MLP,24,0.85,0.10870049818148304,0.2252922077922078,0.13697202495268931,0.9150841911623407,0.922415501736689
