model_name,seed,AS,PS,RS,F1S,SS,NPV
JADE-MLP,10,0.9451358850893659,0.8956366435174743,0.964658000820491,0.9236064216900381,0.964658000820491,0.8956366435174743
JADE-MLP,11,0.9474210397453685,0.8997279108627745,0.963922940460131,0.9262700432403655,0.963922940460131,0.8997279108627745
JADE-MLP,12,0.9447890312576512,0.8950681407020433,0.964620560347603,0.9231859838022656,0.964620560347603,0.8950681407020433
JADE-MLP,15,0.955296662041949,0.9114012918742498,0.9717582604941657,0.9368707532576347,0.9717582604941657,0.9114012918742498
JADE-MLP,18,0.9517057047253734,0.906193531736246,0.9676784942652696,0.9319604247887828,0.9676784942652696,0.906193531736246
JADE-MLP,21,0.9456255610870807,0.896779962020494,0.9634068683929917,0.9240356708100769,0.9634068683929917,0.896779962020494
JADE-MLP,24,0.9492981310699421,0.9019979630414192,0.9674292842815215,0.9289805383523855,0.9674292842815215,0.9019979630414192
JADE-MLP,25,0.9463396719170816,0.8976471654408034,0.964728183989247,0.9250629263815564,0.964728183989247,0.8976471654408034
JADE-MLP,30,0.9462172529176528,0.8975740416023588,0.9642155694454962,0.9248508786859131,0.9642155694454962,0.8975740416023588
JADE-MLP,42,0.9492573247367991,0.9021751779385561,0.9665690696741079,0.9288275595900506,0.9665690696741079,0.9021751779385561
L-SHADE-MLP,10,0.9460540275850812,0.8972376939785887,0.9644391137724648,0.924682315257981,0.9644391137724648,0.8972376939785887
L-SHADE-MLP,11,0.9578266546968089,0.9158964886976744,0.9724838038062523,0.9401218845902202,0.9724838038062523,0.9158964886976744
L-SHADE-MLP,12,0.946808944748225,0.8983880034410954,0.9649517080671766,0.9256572875892948,0.9649517080671766,0.8983880034410954
L-SHADE-MLP,15,0.9481555537419407,0.9008153087796723,0.9646040675054359,0.9272464924401627,0.9646040675054359,0.9008153087796723
L-SHADE-MLP,18,0.9470129764139394,0.8983746546862355,0.9663140026558639,0.9260727492868546,0.9663140026558639,0.8983746546862355
L-SHADE-MLP,21,0.9485024075736554,0.9007187310640805,0.9670723494109352,0.927969355191153,0.9670723494109352,0.9007187310640805
L-SHADE-MLP,24,0.9471762017465111,0.8988565637615731,0.9655462400977137,0.9261750775041276,0.9655462400977137,0.8988565637615731
L-SHADE-MLP,25,0.9461560434179385,0.8973277398625554,0.9647574489126873,0.9248452705190022,0.9647574489126873,0.8973277398625554
L-SHADE-MLP,30,0.9499102260670856,0.9032133842869008,0.9669447349056577,0.9296699547403596,0.9669447349056577,0.9032133842869008
L-SHADE-MLP,42,0.9511752223945156,0.9053555939707121,0.9673075065617011,0.9312641201636662,0.9673075065617011,0.9053555939707121
PSO-MLP,10,0.9455643515873664,0.896667110439908,0.9634408108444132,0.9239663311670683,0.9634408108444132,0.896667110439908
PSO-MLP,11,0.9470741859136538,0.8986025060544669,0.9658446856194971,0.9260886810014286,0.9658446856194971,0.8986025060544669
